Time,X,Y,Z,R,Theta,Phi
11.115,-0.198655220166793,0.16583103866565577,-0.05666949613343441,0.20705779075056782,0.354791308112215,-0.9092376024260946
11.120000000000001,-0.0516262201667931,0.018661038665655875,0.1490415038665656,0.05394979075057001,-0.8867936918877857,-0.0963716024260809
11.125,-0.12201322016679328,0.1160650386656558,-0.09126849613343445,0.12670679075056931,0.5570773081122016,-0.6489076024260844
11.13,0.010593779833206847,-0.05017196133434415,0.12564750386656556,-0.012882209249431538,-0.7572766918877929,0.29524539757391566
11.135,-0.1270642201667932,0.011762038665655774,-0.07837549613343442,0.12482279075056885,0.48024930811220967,-0.027157602426092768
11.14,0.090047779833207,-0.028630961334344122,-0.030593496133434428,-0.09392620924943187,0.18160430811220207,0.13707239757391068
11.145,-0.1296522201667926,0.09027803866565581,0.01213350386656559,0.13348879075056871,-0.05802769188779818,-0.4925666024260868
11.15,-0.013994220166792765,0.01589203866565574,-0.09969649613343445,0.012134790750568529,0.6049363081122041,-0.09394560242606685
11.155,0.15066277983320728,0.06831503866565584,-0.022898496133434414,-0.14811820924943056,0.13084530811221698,-0.47797860242608337
11.16,-0.18871722016679296,0.1204780386656558,-0.003774496133434414,0.194318790750568,0.041429308112202815,-0.6463746024260847
11.165000000000001,-0.1538442201667937,0.03644903866565579,0.021394503866565582,0.15417079075056772,-0.11118169188779035,-0.16367860242608043
11.17,-0.06274422016679283,0.0468930386656558,-0.17811649613343442,0.0628277907505693,1.0760363081121969,-0.2610746024260838
11.175,-0.06734422016679277,0.03187203866565585,0.13724950386656556,0.07012779075057005,-0.8132766918877903,-0.16946160242608851
11.18,0.1566387798332077,-0.08621296133434421,0.0309245038665656,-0.16275420924943176,-0.20065169188779602,0.4660063975739145
11.185,-0.10768422016679327,0.14704503866565571,-0.11814149613343443,0.11463479075056769,0.7169893081122072,-0.8392916024260789
11.19,-0.07368622016679284,0.03569503866565575,-0.04361049613343442,0.0733177907505683,0.2703643081122098,-0.18987760242610005
11.195,0.054531779833205764,0.06534803866565578,0.006485503866565578,-0.052040209249432,-0.04062469188779659,-0.4195226024260766
11.200000000000001,-0.14073722016679213,0.15962303866565578,-0.04332449613343444,0.14894979075056888,0.27282830811221315,-0.8989386024260629
11.205,-0.07230522016679254,-0.010894961334344151,-0.0049254961334344,0.06948779075056762,0.03842330811220363,0.0881073975739294
11.21,-0.057783220166793076,0.06092103866565573,-0.024932496133434425,0.05930079075056924,0.15757930811220744,-0.346981602426104
11.215,0.042731779833206626,0.024856038665655826,0.05136050386656558,-0.04218520924943207,-0.31176669188779416,-0.1697516024260953
11.22,-0.08204922016679386,0.13636503866565577,-0.07419949613343443,0.08843379075056909,0.45407230811220556,-0.787228602426075
11.225,0.007296779833206961,0.051044038665655815,-0.01768449613343442,-0.006205209249431716,0.10937630811220656,-0.313855602426094
11.23,-0.05148422016679279,0.14208603866565592,0.11811650386656555,0.06148679075056926,-0.6999876918877956,-0.835156602426088
11.235,0.2013987798332078,0.06336903866565584,-0.004635496133434414,-0.1988382092494306,0.01463430811219581,-0.46928160242609956
11.24,-0.1792672201667919,0.15664103866565574,-0.1815874961334344,0.1868547907505674,1.093042308112206,-0.8638426024260814
11.245000000000001,0.10867277983320711,-0.08504596133434424,0.19838150386656558,-0.11039620924943186,-1.2177106918877991,0.4744133975738915
